SNR,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
14.6,1.0,1.0,1.0,1.0,1.0,0.23747276399999995,0.0,0.0,0.0,0.0
14.7,1.0,1.0,1.0,1.0,1.0,0.391875929,0.0,0.0,0.0,0.0
14.8,1.0,1.0,1.0,1.0,1.0,0.568188597,0.0,0.0,0.0,0.0
14.9,1.0,1.0,1.0,1.0,1.0,0.725633693,0.0,0.0,0.0,0.0
15.0,1.0,1.0,1.0,1.0,1.0,0.846484545,0.0,0.0,0.0,0.0
15.1,1.0,1.0,1.0,1.0,1.0,0.920919442,5.000099999996621e-05,0.0,0.0,0.0
15.2,1.0,1.0,1.0,1.0,1.0,0.96391399,0.00045010099999998054,0.0,0.0,0.0
15.3,1.0,1.0,1.0,1.0,1.0,0.984506045,0.0042590700000000314,0.0,0.0,0.0
15.4,1.0,1.0,1.0,1.0,1.0,0.993093264,0.021736231999999966,0.0,0.0,0.0
15.5,1.0,1.0,1.0,1.0,1.0,0.996786072,0.04862617999999996,0.0,0.0,0.0
15.6,1.0,1.0,1.0,1.0,1.0,0.999176765,0.11675085399999996,0.0,0.0,0.0
15.7,1.0,1.0,1.0,1.0,1.0,0.99951195,0.21913952400000003,0.0,0.0,0.0
15.8,1.0,1.0,1.0,1.0,1.0,0.999813292,0.350361229,0.0,0.0,0.0
15.9,1.0,1.0,1.0,1.0,1.0,1.0,0.49810135600000005,0.0,0.0,0.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64658971,0.0,0.0,0.0
16.1,1.0,1.0,1.0,1.0,1.0,1.0,0.773269517,0.0,0.0,0.0
16.2,1.0,1.0,1.0,1.0,1.0,1.0,0.872610781,0.0,0.0,0.0
16.3,1.0,1.0,1.0,1.0,1.0,1.0,0.933926696,0.0,0.0,0.0
16.4,1.0,1.0,1.0,1.0,1.0,1.0,0.967742187,0.0,0.0,0.0
16.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9859197,0.0,0.0,0.0
16.6,1.0,1.0,1.0,1.0,1.0,1.0,0.993360869,0.0,0.0,0.0
16.7,1.0,1.0,1.0,1.0,1.0,1.0,0.989,0.0,0.0,0.0
16.8,1.0,1.0,1.0,1.0,1.0,1.0,0.995965152,0.0,0.0,0.0
16.9,1.0,1.0,1.0,1.0,1.0,1.0,0.99795061,5.000099999996621e-05,0.0,0.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999020204,0.0002667379999999886,0.0,0.0
17.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020374819999999794,0.0,0.0
17.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010395818999999973,0.0,0.0
17.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03631836899999996,0.0,0.0
17.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09844557499999995,0.0,0.0
17.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20560095499999997,0.0,0.0
17.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.357138439,0.0,0.0
17.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533037873,0.0,0.0
17.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.692139602,0.0,0.0
17.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820380153,0.0,0.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.900136204,0.0,0.0
18.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948390819,0.0,0.0
18.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974652117,0.0,0.0
18.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988723955,0.0,0.0
18.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994305268,0.0,0.0
18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997322268,0.0,0.0
18.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998815002,0.0,0.0
18.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999367544,0.0,0.0
18.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994522770000001,0.0,0.0
18.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.0,0.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.0,0.0
19.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00020001999999996745,0.0
20.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016012819999999817,0.0
20.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00898517700000001,0.0
20.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03193128300000003,0.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06051107499999997,0.0
21.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13459367899999997,0.0
21.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2493265,0.0
21.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.404368492,0.0
21.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5710957480000001,0.0
21.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.704950763,0.0
21.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825250117,0.0
21.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.900821476,0.0
21.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949917786,0.0
21.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975532428,0.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988407377,0.0
22.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995286503,0.0
22.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998110118,0.0
22.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998102633,0.00020003999999995692
22.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999292893,0.0012014430000000242
22.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.006200310999999958
22.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.022573233999999998
22.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.061829687999999994
22.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13627434000000005
22.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.251740502
23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395441751
23.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.555362456
23.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.693531138
23.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8110556760000001
23.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892135011
23.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.939754722
23.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969783784
23.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984087088
23.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991724103
23.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996591486
24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993747001
24.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996287858
24.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998267949
24.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998904555
24.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999
24.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
